time_ns,x,y,z,qx,qy,qz,qw
1701245215591902282,0.0062776,6.67198e-05,0.011368,-0.00635641,0.032312,-0.000347415,0.999458
1701245215658233907,0.00965601,-0.00161063,0.0113462,-0.00704327,0.0327005,-0.00020065,0.99944
1701245215691392210,0.0112392,-0.00436625,0.00916945,-0.00695319,0.0324137,-0.000197021,0.99945
1701245215725162771,0.0169455,0.000552362,0.00263286,-0.00818759,0.0324593,-0.000115023,0.99944
1701245215758171108,0.00895666,0.00232005,0.00630984,-0.00815078,0.0320498,-0.00014092,0.999453
1701245215791394737,0.00778351,-0.000703547,0.00770873,-0.00821085,0.0321164,6.31466e-06,0.99945
1701245215825384643,0.0103459,0.000232641,0.00736184,-0.0084437,0.0321191,-6.24276e-05,0.999448
1701245215891864088,0.00316879,-0.00657205,0.00798138,-0.00793486,0.0322579,-0.000144875,0.999448
1701245215958210018,0.00887389,-0.0051057,0.00789845,-0.00762808,0.0321671,-0.000262691,0.999453
1701245215991404321,0.00958261,-0.00744125,0.00665836,-0.00726262,0.0321985,-0.000183532,0.999455
1701245216058186558,0.00692515,-0.00445382,0.0053209,-0.00760121,0.0321949,-0.000298336,0.999453
1701245216091319349,0.00491434,-0.00534854,0.00542968,-0.00756526,0.0322987,-0.000446165,0.99945
1701245216125378874,0.00490955,-0.00473759,0.00525932,-0.00765432,0.0323271,-0.000467902,0.999448
1701245216191898849,0.00869063,-0.00582774,0.00576133,-0.00741794,0.0322394,-7.39907e-05,0.999453
1701245216258217123,0.0086168,-0.0060261,0.00677825,-0.00762093,0.0318773,6.44499e-05,0.999463
1701245216291404512,0.00710589,-0.00697249,0.00625983,-0.00743064,0.0319944,-0.000259651,0.99946
1701245216325298813,0.00812237,-0.00555105,0.00574207,-0.00763982,0.0320327,-0.000269913,0.999458
1701245216358179357,0.00771844,-0.00470746,0.00567814,-0.00767321,0.0320957,-0.000223459,0.999455
1701245216391349819,0.00890465,-0.0049557,0.00538183,-0.00751276,0.0322166,-0.000231542,0.999453
1701245216425440099,0.0105313,-0.00417031,0.00626295,-0.00743355,0.0321759,-0.000327212,0.999455
1701245216491645363,0.0109956,-0.00507176,0.00668972,-0.00731,0.0320471,-0.000217,0.99946
1701245216558221605,0.0110402,-0.00325808,0.00670817,-0.00773138,0.0323418,-0.000199334,0.999447
1701245216591420915,0.0118596,-0.0029397,0.00604302,-0.00757082,0.0320023,-6.7437e-05,0.999459
1701245216625165489,0.0108897,-0.00203097,0.00591269,-0.00757881,0.0319785,-1.15094e-05,0.99946
1701245216691306141,0.00982379,-0.00451337,0.00587415,-0.0074954,0.0320272,-0.000131137,0.999459
1701245216725390699,0.00882947,-0.00322668,0.00711826,-0.00728868,0.0319252,-0.00013855,0.999464
1701245216791842726,0.00738452,-0.00436412,0.00718664,-0.00729757,0.0321454,-0.00017323,0.999457
1701245216858205107,0.00779881,-0.00200534,0.00696902,-0.00782321,0.0321124,-0.000200073,0.999454
1701245216891379860,0.00883043,-0.0030534,0.00725432,-0.00764313,0.0320519,-0.000122269,0.999457
1701245216925147560,0.0102048,-0.0022384,0.00745975,-0.00776357,0.0320358,-0.000157357,0.999457
1701245216958185938,0.010046,-0.00106315,0.00689078,-0.00782965,0.031938,4.06125e-07,0.999459
1701245216991356638,0.0088705,-0.0027546,0.00637568,-0.00753374,0.031959,-7.99345e-05,0.999461
1701245217025377300,0.00899923,-0.00230327,0.0073226,-0.0073828,0.0321099,-0.000138844,0.999457
1701245217091874388,0.00810335,-0.00237401,0.00657775,-0.00739452,0.0321251,-0.000256922,0.999456
1701245217158236053,0.00795374,0.000863682,0.00645708,-0.00773385,0.0321541,-0.000177099,0.999453
1701245217191397932,0.00997059,-0.00210747,0.00638855,-0.00752352,0.0321451,-2.30393e-05,0.999455
1701245217225171592,0.0104012,-0.000945263,0.00710484,-0.00748853,0.032223,-7.55199e-05,0.999453
1701245217258185413,0.0108739,0.000351329,0.0076584,-0.00754079,0.0321433,-2.89087e-05,0.999455
1701245217291280296,0.0103912,-0.00219564,0.00697453,-0.00738921,0.0319353,-7.67406e-06,0.999463
1701245217325351503,0.0109044,-0.00201372,0.0077146,-0.00736606,0.032063,-0.000109786,0.999459
1701245217391843345,0.010263,-0.00302859,0.00773949,-0.00739616,0.0320355,1.47672e-05,0.999459
1701245217458248165,0.0111226,-0.000783753,0.00779218,-0.00767549,0.032035,-1.84925e-05,0.999457
1701245217491392162,0.0105213,-0.00230731,0.00652256,-0.00749686,0.0320307,-8.34136e-05,0.999459
1701245217525164154,0.00944083,-0.00119347,0.00651587,-0.00745476,0.0322325,-5.35959e-05,0.999453
1701245217558193710,0.00957365,0.00012633,0.00672766,-0.00759078,0.0322033,4.62175e-05,0.999453
1701245217591326263,0.00897774,-0.00174807,0.00599561,-0.00753091,0.0321741,8.74602e-05,0.999454
1701245217625384357,0.00942147,-0.00203097,0.00712534,-0.00741329,0.0322263,-3.24073e-05,0.999453
1701245217691833284,0.00884764,-0.00280872,0.00697851,-0.00735615,0.0321108,-0.000325807,0.999457
1701245217758190182,0.00836533,-0.00110558,0.00712969,-0.00758063,0.0320711,-0.000220514,0.999457
1701245217791400697,0.0097261,-0.00384147,0.00679484,-0.00761611,0.0319615,-6.74868e-05,0.99946
1701245217825181511,0.00939319,-0.00366609,0.00678728,-0.00751805,0.0322069,-2.88077e-05,0.999453
1701245217858146217,0.00963544,-0.0028054,0.00704028,-0.00756808,0.0321403,3.76535e-05,0.999455
1701245217891317156,0.00948249,-0.0030949,0.00653369,-0.00750848,0.0320435,-1.12057e-05,0.999458
1701245217925356891,0.00982102,-0.00337525,0.00622775,-0.00732066,0.032171,-0.000154044,0.999456
1701245217991874960,0.010735,-0.00403587,0.00583665,-0.00731891,0.0320177,-0.000109084,0.99946
1701245218058225897,0.0107694,-0.00317364,0.00564531,-0.00757196,0.0319169,1.80114e-06,0.999462
1701245218091399696,0.0103753,-0.00310279,0.00571745,-0.00756964,0.0319965,-8.04769e-05,0.999459
1701245218125148800,0.0101081,-0.00417937,0.0060121,-0.00752119,0.0321431,-6.53622e-05,0.999455
1701245218191338804,0.00868965,-0.00312718,0.00602694,-0.00743456,0.0319416,9.75722e-05,0.999462
1701245218225391653,0.00881574,-0.00342531,0.00671413,-0.00736735,0.0320319,1.60643e-05,0.99946
1701245218291860607,0.00813608,-0.00314595,0.00670913,-0.00738851,0.0320637,-0.000284884,0.999458
1701245218358187225,0.00832454,-0.00216192,0.00711321,-0.007511,0.0319954,-0.000202391,0.99946
1701245218391396787,0.00829727,-0.000435027,0.00713249,-0.00763241,0.0320441,-0.000243608,0.999457
1701245218425141599,0.00887232,-0.00228754,0.00663903,-0.0074101,0.0321155,-0.000168449,0.999457
1701245218458159473,0.00882528,-0.00155921,0.00699595,-0.00739266,0.0321082,-0.000178398,0.999457
1701245218491317060,0.00915833,-0.00161942,0.00677805,-0.00759985,0.032026,-0.000148423,0.999458
1701245218525358942,0.00982013,-0.00292717,0.00618102,-0.0074913,0.032079,-0.000259828,0.999457
1701245218591842678,0.0103147,-0.00216141,0.00544809,-0.0076373,0.0318764,-0.000138563,0.999463
1701245218658176925,0.0102794,-0.00107658,0.00550805,-0.0075652,0.0318427,-6.39956e-05,0.999464
1701245218691380527,0.0107657,0.000109304,0.00544539,-0.00751328,0.0320279,0.000100327,0.999459
1701245218725158956,0.0100369,-0.000791419,0.00615799,-0.00735737,0.0321049,-4.50066e-05,0.999457
1701245218758175638,0.010057,-0.0008095,0.00627817,-0.00735978,0.032092,-1.1276e-05,0.999458
1701245218791354683,0.00967784,-6.61738e-06,0.00542042,-0.00745352,0.032042,4.48165e-05,0.999459
1701245218825455454,0.0103802,-0.000642403,0.00556332,-0.0073894,0.0320091,-0.000114518,0.99946
1701245218891846683,0.0117929,-0.000339112,0.00484876,-0.00746692,0.0320757,-0.000125312,0.999458
1701245218958204057,0.0117127,0.000542942,0.00534214,-0.00740095,0.0320766,-0.000140964,0.999458
1701245218991395023,0.0103542,0.00126354,0.00504572,-0.00737985,0.0321721,-1.52128e-05,0.999455
1701245219025145796,0.0103642,-0.000554647,0.00618323,-0.00746927,0.0320921,4.87571e-05,0.999457
1701245219058196333,0.0111886,-0.00030956,0.00657489,-0.00743246,0.0321542,-3.44868e-05,0.999455
1701245219091331270,0.0103385,-0.000140824,0.00624301,-0.00751429,0.0320618,-8.68685e-05,0.999458
1701245219125353601,0.0103619,-0.00128482,0.00650382,-0.00755431,0.0320183,-0.000118322,0.999459
1701245219191854503,0.00978476,-0.000443908,0.00687184,-0.00768064,0.0319277,-0.000161757,0.999461
1701245219258181122,0.00963998,8.89495e-05,0.00746044,-0.0075525,0.0321971,-0.000214226,0.999453
1701245219291358497,0.00949022,0.00112922,0.00713953,-0.00767866,0.0322707,-0.000191326,0.99945
