record_time_ns,accepted_count,rms_m
1785252866496077470,0,0.000000
1785252866529265016,0,0.000000
1785252866561509693,0,0.000000
1785252866595735238,0,0.000000
1785252866627950592,0,0.000000
1785252866661951149,0,0.000000
1785252866695185450,0,0.000000
1785252866728846306,0,0.000000
1785252866761825050,0,0.000000
1785252866795011783,0,0.000000
1785252866829041533,0,0.000000
1785252866861256911,0,0.000000
1785252866895548186,0,0.000000
1785252866927617755,0,0.000000
1785252866961990647,0,0.000000
1785252866995466821,0,0.000000
1785252867028799786,0,0.000000
1785252867061798389,0,0.000000
1785252867095008952,0,0.000000
1785252867128819769,0,0.000000
1785252867161389931,0,0.000000
1785252867195698756,0,0.000000
1785252867228075441,0,0.000000
1785252867262065056,0,0.000000
1785252867295130651,0,0.000000
1785252867328867348,0,0.000000
1785252867361943559,0,0.000000
1785252867394844766,0,0.000000
1785252867428974144,0,0.000000
1785252867461193463,0,0.000000
1785252867495506654,0,0.000000
1785252867527561866,0,0.000000
1785252867561674934,0,0.000000
1785252867594948328,0,0.000000
1785252867628953961,0,0.000000
1785252867661780383,0,0.000000
1785252867701038613,0,0.000000
1785252867737992218,185,0.128659
1785252867761075482,185,0.128659
1785252867846488696,1426,0.104139
1785252867846660677,1426,0.104139
1785252867893933668,1653,0.082179
1785252867927921778,1828,0.082017
1785252867936386333,150,0.152912
1785252868012437908,1759,0.073004
1785252868043636353,1855,0.059751
1785252868052080537,537,0.083543
1785252868061837448,537,0.083543
1785252868129569764,1815,0.060356
1785252868129640953,1815,0.060356
1785252868187733678,1776,0.067796
1785252868217217618,1887,0.056738
1785252868227605407,1887,0.056738
1785252868291294226,1681,0.066663
1785252868317113273,1950,0.050024
1785252868335437796,546,0.070896
1785252868361151709,546,0.070896
1785252868420383228,2001,0.051119
1785252868427662546,2001,0.051119
1785252868485159596,1472,0.059180
1785252868516322746,1970,0.045967
1785252868537336538,695,0.065496
1785252868576785853,1432,0.060778
1785252868611337410,1942,0.040722
1785252868641376806,857,0.058981
1785252868661386877,857,0.058981
1785252868712681079,1894,0.043291
1785252868727752152,1894,0.043291
1785252868780968454,1342,0.053661
1785252868811207723,1799,0.035849
1785252868840385147,1034,0.048400
1785252868861067926,1034,0.048400
1785252868911056915,1861,0.033340
1785252868944467743,1171,0.049206
1785252868961224657,1171,0.049206
1785252869012751259,1882,0.035453
1785252869027890361,1882,0.035453
1785252869076815612,1029,0.050471
1785252869110848466,1840,0.034585
1785252869143944284,1278,0.047252
1785252869172738798,931,0.065349
1785252869212676127,1917,0.040646
1785252869243321147,1300,0.057879
1785252869261252007,1300,0.057879
1785252869312736539,1867,0.039324
1785252869327820756,1867,0.039324
1785252869372616941,741,0.047814
1785252869412869784,1945,0.040435
1785252869443730839,1502,0.048681
1785252869469515135,658,0.051272
1785252869512108913,1925,0.039590
1785252869546818439,1625,0.054226
1785252869561232067,1625,0.054226
1785252869612991890,1863,0.036862
1785252869628046487,1863,0.036862
1785252869669702193,587,0.047555
1785252869713146290,1897,0.041569
1785252869749003087,1808,0.048867
1785252869768933851,517,0.049212
1785252869814479733,1873,0.042795
1785252869847220951,1794,0.045686
1785252869861606939,1794,0.045686
1785252869913496457,1951,0.037812
1785252869927753180,1951,0.037812
1785252869968067561,491,0.042177
1785252870016596343,1954,0.043084
1785252870041958562,1808,0.041196
1785252870067747647,462,0.043922
1785252870115552718,1964,0.038934
1785252870147762606,1867,0.039158
1785252870161495251,1867,0.039158
1785252870215996059,1936,0.041027
1785252870227688950,1936,0.041027
1785252870267362248,394,0.044463
1785252870316261850,1868,0.041232
1785252870348537142,1951,0.040146
1785252870361255109,1951,0.040146
1785252870412372481,1738,0.044228
1785252870451521692,2053,0.038147
1785252870461484849,2053,0.038147
1785252870516321559,1600,0.040319
1785252870527961565,1600,0.040319
1785252870568727177,519,0.045337
1785252870612725985,1492,0.045609
1785252870649447196,2006,0.036296
1785252870669038411,583,0.042993
1785252870711048367,1501,0.041962
1785252870746130779,1936,0.033253
1785252870761498511,1936,0.033253
1785252870811956972,1457,0.045327
1785252870828006682,1457,0.045327
